189,-153,10342,1772,-111,-119
181,-101,10394,-667,-111,490
184,-77,10306,-667,-111,490
227,-94,10353,-57,-111,-119
181,-146,10339,-667,499,-119
170,-134,10344,-667,499,-119
205,-101,10332,553,-721,490
224,-79,10351,-57,-111,490
174,-86,10316,-57,1108,490
198,-120,10358,-57,-721,-119
184,-137,10325,-57,-111,-119
193,-86,10332,553,-111,-119
203,-77,10342,-57,-721,-119
210,-96,10353,-667,-111,490
170,-127,10335,-57,499,-119
181,-139,10323,-57,499,-119
191,-113,10320,-57,-111,-119
248,-91,10335,-57,-111,490
208,-86,10320,-667,499,-119
196,-115,10313,-57,499,-119
193,-139,10325,-667,499,-119
191,-122,10335,553,499,-119
191,-91,10337,553,-721,-119
193,-96,10346,553,-721,-119
222,-94,10332,-57,-111,-119
210,-103,10302,-667,499,-119
186,-110,10349,-667,-111,490
210,-110,10295,-667,-111,490
191,-146,10306,553,499,-119
172,-158,10353,1162,1108,-119
177,-132,10379,1162,-721,-119
220,-41,10382,-1277,-1331,-119
212,-15,10318,-2496,499,490
184,-139,10309,-2496,1108,490
170,-242,10280,-1277,-721,-119
215,-134,10342,-57,-1331,490
174,-34,10320,-57,-111,490
208,-75,10356,-57,-111,-729
220,-149,10358,-667,1108,-119
172,-144,10339,-57,499,490
184,-110,10342,-57,-1331,490
236,-94,10335,553,-1331,-119
227,-91,10361,-667,499,-119
155,-75,10365,-667,1108,490
127,-127,10262,-57,499,-729
189,-163,10370,553,-1940,-119
232,-84,10342,-667,-111,1100
189,-15,10363,-57,499,-119
174,-122,10318,-1886,499,-119
189,-182,10339,-57,-721,-119
186,-139,10323,-667,-111,490
174,-77,10337,1162,-721,490
210,-67,10365,-57,-111,-119
222,-129,10335,-57,-721,-119
193,-139,10339,-667,1108,-119
177,-122,10351,-57,-721,490
196,-98,10339,-57,-721,-119
234,-89,10309,-57,-721,490
193,-110,10361,553,-111,-729
177,-125,10323,-57,-111,490
222,-134,10330,553,-721,-119
222,-98,10370,-57,-111,490
181,-77,10346,-57,499,-119
191,-106,10325,-667,499,-119
201,-156,10328,-1277,-111,490
191,-127,10328,-667,-721,490
205,-79,10351,-57,-721,490
227,-84,10328,-57,-721,-729
205,-129,10339,-1277,499,-729
189,-129,10337,-57,1108,490
172,-151,10346,-667,-721,-119
196,-115,10361,553,-721,-119
203,-96,10311,553,-111,490
212,-113,10323,553,-111,-119
191,-103,10325,553,-111,-119
189,-106,10335,-57,-111,-119
186,-103,10372,553,-111,490
