-494,524,10339,57,-240,-62
-468,528,10297,57,-240,-62
-502,514,10306,57,-240,-62
-504,505,10271,-553,-240,-62
-509,538,10306,-553,-240,-62
-478,505,10332,57,-240,-62
-480,524,10276,57,-240,-62
-490,517,10304,57,-240,-62
-487,509,10332,57,-850,-62
-497,524,10325,57,-240,-62
-487,548,10325,57,-240,-62
-483,528,10363,-553,-240,-672
-485,519,10309,-553,-240,-62
-483,500,10337,57,369,-62
-502,497,10311,-553,-240,-62
-492,521,10325,57,-240,-62
-487,517,10316,-553,-240,-62
-485,533,10335,57,-850,-62
-480,519,10330,-553,-240,-62
-485,500,10311,57,-240,-62
-490,507,10309,-1163,-240,-62
-502,495,10316,57,-240,-62
-475,517,10320,-553,-240,-62
-483,500,10311,-553,-240,-672
-480,512,10304,-553,-850,-62
-483,536,10318,-553,-240,-62
-485,517,10313,57,369,-62
-485,528,10351,57,369,-62
-494,502,10288,-553,-240,-62
-511,512,10332,57,-850,-62
-490,531,10304,57,-240,-62
-492,514,10325,-553,-240,-62
-487,521,10344,57,-240,547
-485,505,10342,-553,-850,-62
-480,519,10306,-553,369,-62
-492,528,10295,-553,-240,-62
-497,528,10306,-553,-240,-62
-483,512,10318,-553,369,547
-504,543,10358,-1163,-240,547
-485,543,10342,-1163,-240,-62
-502,514,10342,-1773,-240,-62
-494,495,10318,-1773,-240,-62
-485,517,10337,-1773,369,-62
-454,540,10323,-1773,-850,-62
-487,500,10311,-1163,369,-62
-502,493,10311,-1163,369,-62
-480,495,10290,-1163,-240,-62
-492,519,10328,-1163,-240,-62
-478,548,10353,-1163,-240,-62
-483,517,10309,-1773,369,-62
-504,486,10332,-553,-240,-62
-511,478,10280,-1163,-850,547
-509,497,10311,57,-240,-62
-478,533,10335,-553,-240,-672
-483,528,10328,57,-240,-62
-490,519,10353,-553,369,-62
-483,483,10337,-553,-240,-62
-528,509,10349,57,-850,547
-468,517,10330,-553,-850,-62
-480,543,10328,57,-850,-62
-504,521,10288,-553,-240,-62
-516,493,10328,-1163,369,-62
-483,505,10342,-553,-240,-62
-463,526,10337,57,-850,547
-471,540,10328,-553,-240,-62
-487,509,10288,-553,-240,-672
-483,488,10311,57,-240,-62
-487,500,10313,-553,-850,547
-483,509,10323,57,-850,-62
-485,533,10309,-553,-240,-62
-478,512,10304,-553,-850,-62
