-401, 785, 6842, -97, 783, -239, 3, -15, 79, 1304

-401, 785, 6842, 120, 848, -227, 3, -15, 79, 1305

-449, 851, 7048, 120, 848, -227, 3, -15, 79, 1322

-449, 851, 7048, 120, 848, -227, 3, -15, 79, 1322

-449, 851, 7048, 120, 848, -227, 2, -16, 78, 11681

-799, 979, 8052, 804, 1036, -249, 2, -16, 78, 1352

-799, 979, 8052, 804, 1036, -249, 2, -16, 78, 1354

-799, 979, 8052, 804, 1036, -249, 2, -16, 78, 1355

-799, 979, 8052, 804, 1036, -249, 2, -16, 78, 1353

-928, 1009, 8379, 984, 1061, -304, 2, -16, 78, 1354

-928, 1009, 8379, 984, 1061, -304, 2, -16, 78, 1383

-928, 1009, 8379, 984, 1061, -304, 2, -16, 78, 1383

-1012, 1044, 8671, 1103, 1106, -358, -4, -14, 80, 11741

-988, 967, 8876, 1218, 1178, -372, -4, -14, 80, 1483

-988, 967, 8876, 1218, 1178, -372, -4, -14, 80, 1393

-988, 967, 8876, 1190, 1227, -419, -4, -14, 80, 1395

-871, 875, 8867, 1190, 1227, -419, -4, -14, 80, 1396

-871, 875, 8867, 1190, 1227, -419, -4, -14, 80, 1395

-871, 875, 8867, 1190, 1227, -419, -4, -14, 80, 1395

-674, 720, 8623, 1166, 1246, -459, -2, -14, 80, 11755

-188, 386, 8008, 1021, 1200, -506, -2, -14, 80, 1426

-188, 386, 8008, 1021, 1200, -506, -2, -14, 80, 1390

-188, 386, 8008, 941, 1112, -422, -2, -14, 80, 1389

57, 197, 7721, 941, 1112, -422, -2, -14, 80, 1363

57, 197, 7721, 941, 1112, -422, -2, -14, 80, 1326

57, 197, 7721, 941, 1112, -422, -2, -14, 80, 1326

243, 11, 7472, 855, 950, -315, -2, -14, 80, 1324

243, 11, 7472, 855, 950, -315, -2, -12, 78, 11656

419, -229, 7130, 602, 586, -220, -2, -12, 78, 1326

419, -229, 7130, 602, 586, -220, -2, -12, 78, 1335

404, -281, 7140, 452, 421, -177, -2, -12, 78, 1334

404, -281, 7140, 452, 421, -177, -2, -12, 78, 1333

404, -281, 7140, 452, 421, -177, -2, -12, 78, 1334

404, -281, 7140, 257, 246, -109, -2, -12, 78, 1332

316, -265, 7222, 257, 246, -109, -2, -12, 78, 1333

316, -265, 7222, 257, 246, -109, -4, -10, 84, 11691

-42, -127, 7705, -44, -8, 71, -4, -10, 84, 1364

-295, -54, 8009, -171, -155, 75, -4, -10, 84, 1208

-295, -54, 8009, -171, -155, 75, -4, -10, 84, 1295

-295, -54, 8009, -171, -155, 75, -4, -10, 84, 1293

-295, -54, 8009, -171, -155, 75, -4, -10, 84, 1295

-512, 89, 8310, -298, -270, 8, -4, -10, 84, 1293

-512, 89, 8310, -298, -270, 8, -4, -10, 84, 1259

-512, 89, 8310, -298, -270, 8, 1, -11, 83, 11618

-848, 337, 8708, -566, -356, -140, 1, -11, 83, 1278

-929, 434, 8781, -755, -344, -176, 1, -11, 83, 1346

