-0.002745, -0.047878	 0.001536, -0.047878	 1.617683, -0.031253
-0.003390, -0.031253	 0.002003, -0.031253	 1.587204, 0.099390
-0.003466, 0.099390	 0.002059, 0.099390	 1.666608, 0.016403
-0.003730, 0.016403	 0.001920, 0.016403	 1.663023, -0.067337
-0.003873, -0.067337	 0.001903, -0.067337	 1.595698, -0.051066
-0.003875, -0.051066	 0.002016, -0.051066	 1.544644, -0.034749
-0.003901, -0.034749	 0.002106, -0.034749	 1.509907, -0.018144
-0.003952, -0.018144	 0.002173, -0.018144	 1.491776, -0.001505
-0.004381, -0.001505	 0.002552, -0.001505	 1.491055, 0.130763
-0.004431, 0.130763	 0.002606, 0.130763	 1.621831, 0.147566
-0.004669, 0.147566	 0.002466, 0.147566	 1.749409, 0.063698
-0.004910, 0.063698	 0.002324, 0.063698	 1.793118, -0.020227
-0.005030, -0.020227	 0.002302, -0.020227	 1.752903, -0.104118
-0.005029, -0.104118	 0.002401, -0.104118	 1.648796, -0.088021
-0.004907, -0.088021	 0.002621, -0.088021	 1.560787, -0.071912
-0.003957, -0.071912	 0.004482, -0.071912	 1.489650, 0.059407
-0.003821, 0.059407	 0.004736, 0.059407	 1.549069, 0.076062
-0.003880, 0.076062	 0.004790, 0.076062	 1.625142, 0.092151
-0.003933, 0.092151	 0.004826, 0.092151	 1.697305, 0.008092
-0.004009, 0.008092	 0.004838, 0.008092	 1.685409, -0.075978
-0.003964, -0.075978	 0.004972, -0.075978	 1.609443, -0.060025
-0.003766, -0.060025	 0.005228, -0.060025	 1.549429, -0.044144
-0.002336, -0.044144	 0.007138, -0.044144	 1.506054, 0.085846
-0.002151, 0.085846	 0.007327, 0.085846	 1.591912, 0.102237
-0.002157, 0.102237	 0.007304, 0.102237	 1.674162, 0.018379
-0.002187, 0.018379	 0.007257, 0.018379	 1.672553, -0.065479
-0.002092, -0.065479	 0.007334, -0.065479	 1.607086, -0.049293
-0.001872, -0.049293	 0.007537, -0.049293	 1.557805, -0.033108
-0.001681, -0.033108	 0.007709, -0.033108	 1.524709, -0.016981
-0.000353, -0.016981	 0.008885, -0.016981	 1.508489, 0.111286
-0.000194, 0.111286	 0.009006, 0.111286	 1.619787, 0.127494
-0.000223, 0.127494	 0.008942, 0.127494	 1.727293, 0.042972
-0.000277, 0.042972	 0.008853, 0.042972	 1.750277, -0.041251
-0.000206, -0.041251	 0.008889, -0.041251	 1.689038, -0.125474
-0.000011, -0.125474	 0.009054, -0.125474	 1.563575, -0.109789
0.000309, -0.109789	 0.009344, -0.109789	 1.453798, -0.094093
0.002687, -0.094093	 0.011482, -0.094093	 1.360449, 0.031685
0.002935, 0.031685	 0.011745, 0.031685	 1.392146, 0.047727
0.002993, 0.047727	 0.011818, 0.047727	 1.439885, 0.063451
0.003028, 0.063451	 0.011866, 0.063451	 1.503348, 0.079154
0.003038, 0.079154	 0.011891, 0.079154	 1.582514, 0.094857
0.003021, 0.094857	 0.011889, 0.094857	 1.657382, 0.010561
0.002981, 0.010561	 0.011864, 0.010561	 1.667955, 0.026276
0.003657, 0.026276	 0.012659, 0.026276	 1.674978, 0.052316
0.003632, 0.052316	 0.012700, 0.052316	 1.707306, -0.031406
0.003569, -0.031406	 0.012701, -0.031406	 1.655912, -0.115636
0.003629, -0.115636	 0.012825, -0.115636	 1.540288, -0.099876
0.003793, -0.099876	 0.013031, -0.099876	 1.440423, -0.084030
0.003929, -0.084030	 0.013208, -0.084030	 1.356403, -0.068705
0.004042, -0.068705	 0.013363, -0.068705	 1.287709, -0.053369
0.004807, -0.053369	 0.014473, -0.053369	 1.235091, 0.074308
0.004831, 0.074308	 0.014542, 0.074308	 1.309411, 0.090143
0.004670, 0.090143	 0.014425, 0.090143	 1.399566, 0.106111
0.004486, 0.106111	 0.014286, 0.106111	 1.505688, 0.122045
0.004280, 0.122045	 0.014120, 0.122045	 1.627745, 0.137986
0.004050, 0.137986	 0.013931, 0.137986	 1.745743, 0.053938
0.003797, 0.053938	 0.013718, 0.053938	 1.779693, -0.030087
0.002808, -0.030087	 0.012986, -0.030087	 1.730372, -0.000148
0.002841, -0.000148	 0.013026, -0.000148	 1.710236, -0.083891
0.002829, -0.083891	 0.013022, -0.083891	 1.626356, -0.068281
0.002937, -0.068281	 0.013136, -0.068281	 1.558087, -0.052703
0.003035, -0.052703	 0.013242, -0.052703	 1.505395, -0.037107
0.003109, -0.037107	 0.013325, -0.037107	 1.468299, -0.021719
0.003162, -0.021719	 0.013386, -0.021719	 1.446591, -0.006320
0.003574, -0.006320	 0.013879, -0.006320	 1.441026, 0.122212
0.003633, 0.122212	 0.013968, 0.122212	 1.563249, 0.137797
0.003506, 0.137797	 0.013872, 0.137797	 1.681057, 0.053599
0.003356, 0.053599	 0.013754, 0.053599	 1.714668, -0.030641
0.003347, -0.030641	 0.013772, -0.030641	 1.664038, -0.114741
0.003461, -0.114741	 0.013912, -0.114741	 1.549309, -0.098829
0.003695, -0.098829	 0.014174, -0.098829	 1.450492, -0.082928
0.005396, -0.082928	 0.016233, -0.082928	 1.368328, 0.046637
0.005587, 0.046637	 0.016479, 0.046637	 1.414977, 0.062851
0.005587, 0.062851	 0.016533, 0.062851	 1.477840, 0.078757
0.005563, 0.078757	 0.016572, 0.078757	 1.556608, 0.094645
0.005517, 0.094645	 0.016588, 0.094645	 1.651265, 0.110346
0.005448, 0.110346	 0.016582, 0.110346	 1.741622, 0.026080
0.005356, 0.026080	 0.016552, 0.026080	 1.747714, -0.058175
0.005645, -0.058175	 0.017363, -0.058175	 1.670305, -0.028125
0.005827, -0.028125	 0.017630, -0.028125	 1.642192, -0.011668
0.005961, -0.011668	 0.017848, -0.011668	 1.630537, 0.004469
0.006087, 0.004469	 0.018057, 0.004469	 1.635018, 0.020639
0.006189, 0.020639	 0.018242, 0.020639	 1.655669, 0.036765
0.006267, 0.036765	 0.018403, 0.036765	 1.672445, -0.047109
0.006345, -0.047109	 0.018553, -0.047109	 1.625348, -0.030961
0.007965, -0.030961	 0.020759, -0.030961	 1.595161, 0.100179
0.008190, 0.100179	 0.020984, 0.100179	 1.675353, 0.016625
0.008218, 0.016625	 0.021013, 0.016625	 1.671989, -0.067427
0.008386, -0.067427	 0.021128, -0.067427	 1.604573, -0.051463
0.008681, -0.051463	 0.021369, -0.051463	 1.553122, -0.035180
0.008953, -0.035180	 0.021586, -0.035180	 1.517955, -0.018885
0.009215, -0.018885	 0.021740, -0.018885	 1.499082, -0.002685
0.011122, -0.002685	 0.022776, -0.002685	 1.497165, 0.127058
0.011330, 0.127058	 0.022811, 0.127058	 1.624236, 0.143390
0.011321, 0.143390	 0.022640, 0.143390	 1.747637, 0.059029
0.011288, 0.059029	 0.022446, 0.059029	 1.786677, -0.025343
0.011378, -0.025343	 0.022374, -0.025343	 1.741345, -0.109716
0.011589, -0.109716	 0.022423, -0.109716	 1.631641, -0.094088
0.011891, -0.094088	 0.022594, -0.094088	 1.537564, -0.078460
0.014172, -0.078460	 0.023806, -0.078460	 1.459857, 0.049049
0.014373, 0.049049	 0.023962, 0.049049	 1.508918, 0.064916
0.014359, 0.064916	 0.023956, 0.064916	 1.573844, 0.080146
0.014322, 0.080146	 0.023927, 0.080146	 1.654000, 0.095214
0.014264, 0.095214	 0.023878, 0.095214	 1.729225, 0.010272
0.014177, 0.010272	 0.023834, 0.010272	 1.719508, -0.074629
0.014210, -0.074629	 0.023912, -0.074629	 1.644890, -0.058926
0.015483, -0.058926	 0.025549, -0.058926	 1.586717, 0.068433
0.015598, 0.068433	 0.025820, 0.068433	 1.655162, 0.084573
0.015525, 0.084573	 0.025899, 0.084573	 1.719747, 0.000465
0.015429, 0.000465	 0.025956, 0.000465	 1.700223, -0.083633
0.015456, -0.083633	 0.026135, -0.083633	 1.616602, -0.067687
0.015602, -0.067687	 0.026455, -0.067687	 1.548926, -0.051705
0.015727, -0.051705	 0.026759, -0.051705	 1.497234, -0.035393
0.016535, -0.035393	 0.028987, -0.035393	 1.462610, 0.094474
0.016624, 0.094474	 0.029237, 0.094474	 1.557097, 0.111136
0.016520, 0.111136	 0.029288, 0.111136	 1.668244, 0.127128
0.016391, 0.127128	 0.029315, 0.127128	 1.775384, 0.043120
0.016249, 0.043120	 0.029292, 0.043120	 1.798516, -0.040877
0.016228, -0.040877	 0.029392, -0.040877	 1.737650, -0.124817
0.016331, -0.124817	 0.029615, -0.124817	 1.612845, -0.108714
0.018152, -0.108714	 0.032413, -0.108714	 1.504902, 0.021749
0.018411, 0.021749	 0.032650, 0.021749	 1.526663, 0.038407
0.018473, 0.038407	 0.032691, 0.038407	 1.565082, 0.054630
0.018511, 0.054630	 0.032708, 0.054630	 1.619724, 0.070853
