-3483, -1916, 9104, -2, -4, -61, 16, -26, 56, 670, 1472

-3557, -1913, 9084, -2, -4, -61, 16, -26, 56, 670, 1393

-3557, -1913, 9084, -2, -4, -61, 16, -26, 56, 670, 1397

-3557, -1913, 9084, -2, -4, -61, 16, -26, 56, 670, 1396

-3569, -1907, 9070, 3, 35, -50, 16, -26, 56, 670, 1397

-3569, -1907, 9070, 3, 35, -50, 16, -26, 56, 670, 1400

-3569, -1907, 9070, 3, 35, -50, 21, -29, 53, 670, 11761

-3463, -1877, 9113, 23, 168, -29, 21, -29, 53, 670, 1431

-3396, -1908, 9138, 23, 168, -29, 21, -29, 53, 670, 1460

-3396, -1908, 9138, 23, 168, -29, 21, -29, 53, 670, 1455

-3396, -1908, 9138, 23, 168, -29, 21, -29, 53, 670, 1473

-3233, -1919, 9166, 31, 195, -24, 21, -29, 53, 670, 1459

-3233, -1919, 9166, 31, 195, -24, 21, -29, 53, 670, 1458

-3233, -1919, 9166, 31, 195, -24, 18, -30, 54, 671, 11818

-2812, -1905, 9164, 35, 141, -25, 18, -30, 54, 671, 1488

-2812, -1905, 9164, 35, 141, -25, 18, -30, 54, 671, 1458

-2812, -1905, 9164, 35, 141, -25, 18, -30, 54, 671, 1460

-2812, -1905, 9164, 30, 98, -21, 18, -30, 54, 671, 1461

-2806, -1938, 9196, 30, 98, -21, 18, -30, 54, 671, 1432

-2806, -1938, 9196, 30, 98, -21, 18, -30, 54, 671, 1432

-2806, -1938, 9196, 30, 98, -21, 20, -28, 58, 671, 11789

-3059, -1928, 9174, 56, 13, -56, 20, -28, 58, 671, 1459

-3059, -1928, 9174, 56, 13, -56, 20, -28, 58, 671, 1429

-3059, -1928, 9174, 56, 13, -56, 20, -28, 58, 671, 1431

-3141, -1908, 9138, 75, 0, -68, 20, -28, 58, 671, 1431

-3141, -1908, 9138, 75, 0, -68, 20, -28, 58, 671, 1399

-3141, -1908, 9138, 75, 0, -68, 20, -28, 58, 671, 1400

-3141, -1908, 9138, 75, 0, -68, 16, -26, 54, 671, 11761

-3206, -1976, 9067, 135, 5, -36, 16, -26, 54, 671, 1429

-3206, -1976, 9067, 135, 5, -36, 16, -26, 54, 671, 1429

-3206, -1976, 9067, 135, 5, -36, 16, -26, 54, 671, 1426

-3230, -1985, 9054, 142, 15, -39, 16, -26, 54, 671, 1429

-3230, -1985, 9054, 142, 15, -39, 16, -26, 54, 671, 1459

-3230, -1985, 9054, 142, 15, -39, 16, -26, 54, 671, 1454

-3230, -1985, 9054, 148, 26, -42, 16, -26, 60, 671, 11816

-3310, -2083, 8998, 124, 63, -21, 16, -26, 60, 671, 1489

-3310, -2083, 8998, 124, 63, -21, 16, -26, 60, 671, 1457

-3310, -2083, 8998, 124, 63, -21, 16, -26, 60, 671, 1454

-3333, -2153, 9018, 113, 79, -10, 16, -26, 60, 671, 1457

-3333, -2153, 9018, 113, 79, -10, 16, -26, 60, 671, 1459

-3333, -2153, 9018, 113, 79, -10, 16, -26, 60, 671, 1456

-3295, -2217, 9031, 104, 105, -22, 16, -24, 62, 671, 11815

-2946, -2192, 9155, 71, 116, -50, 16, -24, 62, 671, 1518

-2946, -2192, 9155, 71, 116, -50, 16, -24, 62, 671, 1458

-2834, -2140, 9178, 66, 88, -68, 16, -24, 62, 671, 1457

-2834, -2140, 9178, 66, 88, -68, 16, -24, 62, 671, 1429

-2834, -2140, 9178, 66, 88, -68, 16, -24, 62, 671, 1436

-2834, -2140, 9178, 66, 88, -68, 16, -24, 62, 671, 1447

-2776, -2054, 9144, 64, 46, -86, 19, -23, 57, 672, 11790

-2904, -1858, 9050, 93, -88, -81, 19, -23, 57, 672, 1458

-2904, -1858, 9050, 93, -88, -81, 19, -23, 57, 672, 1439

-3100, -1864, 8984, 60, -79, -54, 19, -23, 57, 672, 1441

-3100, -1864, 8984, 60, -79, -54, 19, -23, 57, 672, 1441

-3100, -1864, 8984, 60, -79, -54, 19, -23, 57, 672, 1439

-3100, -1864, 8984, 49, -70, -24, 19, -23, 57, 672, 1443

-3171, -1885, 8940, 49, -70, -24, 13, -25, 59, 672, 11795

-3308, -1987, 8873, 43, -34, 8, 13, -25, 59, 672, 1472

-3308, -1987, 8873, 43, -34, 8, 13, -25, 59, 672, 1401

-3319, -2049, 8854, 26, -3, 16, 13, -25, 59, 672, 1399

-3319, -2049, 8854, 26, -3, 16, 13, -25, 59, 672, 1398

-3319, -2049, 8854, 26, -3, 16, 13, -25, 59, 672, 1401

-3297, -2128, 8823, -1, 28, 19, 13, -25, 59, 672, 1401

-3297, -2128, 8823, -1, 28, 19, 20, -24, 60, 672, 11756

-3154, -2223, 8843, -36, 84, -10, 20, -24, 60, 672, 1431

-3154, -2223, 8843, -65, 102, -43, 20, -24, 60, 672, 1442

-3084, -2230, 8863, -65, 102, -43, 20, -24, 60, 672, 1468

-3084, -2230, 8863, -65, 102, -43, 20, -24, 60, 672, 1470

-3084, -2230, 8863, -65, 102, -43, 20, -24, 60, 672, 1469

-2982, -2215, 8917, -92, 99, -68, 20, -24, 60, 672, 1470

-2982, -2215, 8917, -92, 99, -68, 16, -26, 56, 672, 11802

-2787, -2136, 8968, -134, 44, -111, 16, -26, 56, 672, 1472

-2785, -2094, 8965, -144, -8, -128, 16, -26, 56, 672, 1500

-2785, -2094, 8965, -144, -8, -128, 16, -26, 56, 672, 1476

-2785, -2094, 8965, -144, -8, -128, 16, -26, 56, 672, 1479

-2785, -2094, 8965, -159, -53, -140, 16, -26, 56, 672, 1478

-2832, -2061, 8992, -159, -53, -140, 16, -26, 56, 672, 1508

-2832, -2061, 8992, -159, -53, -140, 21, -27, 59, 672, 11867

-3037, -1945, 9006, -183, -108, -159, 21, -27, 59, 672, 1535

-3161, -1883, 9043, -192, -121, -154, 21, -27, 59, 672, 1539

-3161, -1883, 9043, -192, -121, -154, 21, -27, 59, 672, 1538

-3161, -1883, 9043, -192, -121, -154, 21, -27, 59, 672, 1538

