0.000000, -0.004153	 -0.008279, -0.012378	 -0.016440, -0.020475
-0.204735, -0.204477	 -0.204221, -0.203966	 -0.203700, -0.203363
-0.202564, -0.202140	 -0.201746, -0.201356	 -0.200970, -0.200700
-0.200434, -0.199125	 -0.199406, -0.199690	 -0.199975, -0.200527
-0.201077, -0.201625	 -0.202026, -0.202905	 -0.203777, -0.204644
-0.205516, -0.206382	 -0.207242, -0.209290	 -0.209987, -0.210662
-0.211192, -0.211710	 -0.212221, -0.212725	 -0.215115, -0.215218
-0.215321, -0.215392	 -0.215460, -0.215523	 -0.215527, -0.216948
-0.216957, -0.216944	 -0.216956, -0.216965	 -0.216973, -0.217109
-0.217987, -0.218225	 -0.218579, -0.218929	 -0.219276, -0.219652
-0.220025, -0.221169	 -0.221563, -0.221924	 -0.222281, -0.222634
-0.223033, -0.223427	 -0.224824, -0.225178	 -0.225522, -0.225862
-0.226219, -0.226497	 -0.226771, -0.228727	 -0.228511, -0.228285
-0.228057, -0.227718	 -0.227378, -0.227035	 -0.228431, -0.228076
-0.227718, -0.227359	 -0.227049, -0.226737	 -0.226425, -0.227581
-0.227486, -0.227384	 -0.227346, -0.227310	 -0.227270, -0.227226
-0.229283, -0.229006	 -0.228710, -0.228241	 -0.227771, -0.227297
-0.226700, -0.228418	 -0.227485, -0.226392	 -0.225305, -0.224219
-0.223135, -0.221974	 -0.222136, -0.221041	 -0.219991, -0.218945
-0.217903, -0.216979	 -0.216058, -0.215601	 -0.215226, -0.214852
-0.214480, -0.214112	 -0.213745, -0.213380	 -0.212925, -0.212290
-0.211658, -0.211036	 -0.210213, -0.209394	 -0.208579, -0.207254
-0.205699, -0.204154	 -0.202408, -0.200673	 -0.198950, -0.196994
-0.193082, -0.190728	 -0.188330, -0.185948	 -0.183588, -0.181251
-0.178922, -0.171660	 -0.169475, -0.167416	 -0.165402, -0.163410
-0.161397, -0.159471	 -0.150575, -0.149010	 -0.147468, -0.145953
-0.144458, -0.142999	 -0.141561, -0.132222	 -0.130795, -0.129414
-0.128056, -0.126722	 -0.125417, -0.124111	 -0.115023, -0.113648
-0.112332, -0.111040	 -0.109737, -0.108203	 -0.106693, -0.097292
-0.095098, -0.092960	 -0.090849, -0.088222	 -0.085627, -0.083068
-0.071521, -0.068223	 -0.064965, -0.061728	 -0.058068, -0.054453
-0.050885, -0.035141	 -0.031898, -0.028659	 -0.025472, -0.022711
-0.020024, -0.017385	 0.001711, 0.002599	 0.003341, 0.003751
0.004121, 0.004453	 0.004707, 0.020903	 0.019757, 0.018441
0.016942, 0.015409	 0.013860, 0.012104	 0.021839, 0.019662
0.017592, 0.015517	 0.013435, 0.011782	 0.010123, 0.013909
0.012831, 0.011728	 0.010633, 0.009530	 0.008728, 0.007926
0.009265, 0.009113	 0.008951, 0.008786	 0.008609, 0.008427
0.008242, 0.010014	 0.009775, 0.009526	 0.009274, 0.008963
0.008651, 0.008335	 0.009960, 0.009101	 0.008238, 0.007378
0.006297, 0.005222	 0.004152, 0.003335	 0.001568, -0.000186
-0.001927, -0.003887	 -0.005839, -0.007775	 -0.012108, -0.013592
-0.015063, -0.016540	 -0.017505, -0.018467	 -0.019405, -0.023508
-0.022801, -0.022085	 -0.021198, -0.020304	 -0.019412, -0.018614
-0.018855, -0.018367	 -0.017886, -0.017551	 -0.017215, -0.016884
-0.016805, -0.015002	 -0.015764, -0.016899	 -0.018031, -0.019162
-0.020289, -0.021811	 -0.022285, -0.024334	 -0.026520, -0.028693
-0.030854, -0.033193	 -0.035516, -0.039701	 -0.042034, -0.044307
-0.046562, -0.048795	 -0.050884, -0.052958	 -0.059824, -0.061190
-0.062538, -0.063865	 -0.065116, -0.066344	 -0.067554, -0.074669
-0.075348, -0.075997	 -0.076628, -0.077144	 -0.077633, -0.078105
-0.083676, -0.084075	 -0.084431, -0.084750	 -0.085174, -0.085586
-0.085988, -0.090795	 -0.091809, -0.092783	 -0.093861, -0.094936
-0.095995, -0.097037	 -0.103371, -0.104857	 -0.106338, -0.107866
-0.109379, -0.110870	 -0.112155, -0.120663	 -0.121456, -0.122195
-0.122765, -0.123314	 -0.123845, -0.124210	 -0.132165, -0.132385
-0.132501, -0.132601	 -0.132687, -0.132745	 -0.132695, -0.139524
-0.139103, -0.138530	 -0.137929, -0.137321	 -0.136672, -0.136006
-0.140592, -0.139943	 -0.139524, -0.139084	 -0.138639, -0.138415
-0.138193, -0.141654	 -0.141972, -0.142528	 -0.143069, -0.143598
-0.144311, -0.145023	 -0.149506, -0.149766	 -0.150006, -0.150235
-0.150453, -0.150253	 -0.150066, -0.154076	 -0.152946, -0.151786
-0.150625, -0.149347	 -0.148070, -0.146795	 -0.147489, -0.146708
-0.145925, -0.145146	 -0.144637, -0.144131	 -0.143627, -0.143796
-0.143979, -0.144153	 -0.144366, -0.144554	 -0.144739, -0.144920
-0.146497, -0.146643	 -0.146784, -0.146870	 -0.146954, -0.147031
-0.147105, -0.149136	 -0.148802, -0.148464	 -0.148159, -0.147853
-0.147544, -0.147238	 -0.149016, -0.148487	 -0.147950, -0.147447
-0.146943, -0.146439	 -0.145752, -0.146185	 -0.145508, -0.144733
-0.143961, -0.143193	 -0.142430, -0.141720	 -0.141052, -0.140537
-0.140184, -0.139832	 -0.139482, -0.139136	 -0.139018, -0.138591
-0.138811, -0.139255	 -0.139697, -0.140135	 -0.140556, -0.140974
-0.141635, -0.142063	 -0.142303, -0.142540	 -0.142774, -0.142915
-0.143052, -0.144071	 -0.143872, -0.143673	 -0.143473, -0.143268
-0.142900, -0.142532	 -0.142994, -0.141603	 -0.140221, -0.138848
-0.137349, -0.135861	 -0.134383, -0.131693	 -0.130755, -0.129840
-0.128935, -0.128268	 -0.127610, -0.126961	 -0.123573, -0.123524
-0.123489, -0.123459	 -0.123700, -0.123935	 -0.124174, -0.122494
-0.123635, -0.124773	 -0.125907, -0.127081	 -0.128245, -0.129404
-0.130574, -0.131700	 -0.132817, -0.133727	 -0.134631, -0.135526
-0.136226, -0.138814	 -0.139041, -0.139243	 -0.139150, -0.139053
-0.138952, -0.138589	 -0.139937, -0.139436	 -0.139041, -0.138646
-0.138252, -0.137671	 -0.137091, -0.137008	 -0.136445, -0.135887
-0.135334, -0.134784	 -0.134453, -0.134123	 -0.133260, -0.133512
-0.133765, -0.134017	 -0.134291, -0.134573	 -0.134854, -0.134976
-0.134999, -0.135021	 -0.135043, -0.134998	 -0.134953, -0.134908
-0.134976, -0.134669	 -0.134361, -0.134029	 -0.133543, -0.133058
-0.132576, -0.132023	 -0.131749, -0.131478	 -0.131329, -0.131181
-0.131035, -0.131290	 -0.131406, -0.131676	 -0.132034, -0.132390
-0.132743, -0.133094	 -0.133315, -0.134049	 -0.134129, -0.134144
-0.134158, -0.134169	 -0.134066, -0.133963	 -0.134458, -0.134330
-0.134200, -0.134071	 -0.133924, -0.133801	 -0.133678, -0.133563
-0.133066, -0.132584	 -0.132106, -0.131424	 -0.130757, -0.130098
-0.126968, -0.125858	 -0.124773, -0.123702	 -0.122295, -0.120892
-0.119506, -0.112399	 -0.111308, -0.110190	 -0.109093, -0.108485
