0.000000, -0.004153	 -0.008279, -0.012378	 -0.016440, -0.020475
0.240053, 0.223194	 0.206474, 0.184965	 0.163699, 0.142679
0.116775, 0.088587	 0.060829, 0.032500	 0.004632, -0.022775
-0.049717, -0.074151	 -0.095714, -0.116873	 -0.135987, -0.154734
-0.173115, -0.189370	 -0.205226, -0.218530	 -0.229766, -0.240731
-0.251428, -0.259976	 -0.268293, -0.275967	 -0.280597, -0.285053
-0.289337, -0.292392	 -0.295291, -0.298038	 -0.299920, -0.295156
-0.290373, -0.285567	 -0.277059, -0.268608	 -0.260214, -0.248274
-0.228276, -0.208577	 -0.186587, -0.164953	 -0.143673, -0.120910
-0.098149, -0.071953	 -0.045262, -0.019080	 0.006593, 0.034236
0.061320, 0.087748	 0.112270, 0.136249	 0.159687, 0.182589
0.204016, 0.224925	 0.244684, 0.258225	 0.271368, 0.284118
0.296376, 0.308240	 0.319716, 0.327836	 0.333552, 0.338994
0.343126, 0.347011	 0.350654, 0.354061	 0.353449, 0.356049
0.358445, 0.358218	 0.357842, 0.357321	 0.359249, 0.359907
0.363058, 0.365594	 0.367918, 0.370034	 0.370088, 0.369974
0.368581, 0.364526	 0.360372, 0.356120	 0.349635, 0.343100
0.336520, 0.328720	 0.318915, 0.309142	 0.299408, 0.289612
0.279866, 0.270172	 0.260048, 0.247346	 0.234771, 0.219640
0.204702, 0.189959	 0.174380, 0.158375	 0.142453, 0.125298
0.108411, 0.091795	 0.075449, 0.057509	 0.039527, 0.016842
-0.005052, -0.026516	 -0.047551, -0.068513	 -0.089033, -0.108906
-0.124652, -0.140009	 -0.154982, -0.166573	 -0.177842, -0.188792
-0.198777, -0.203322	 -0.207683, -0.211864	 -0.218165, -0.224251
-0.230124, -0.225756	 -0.228974, -0.232071	 -0.233670, -0.235189
-0.236630, -0.242198	 -0.247377, -0.259738	 -0.274129, -0.288209
-0.301980, -0.315443	 -0.333097, -0.350064	 -0.369592, -0.389106
-0.408142, -0.426704	 -0.443588, -0.460016	 -0.475144, -0.486346
-0.497150, -0.507560	 -0.515182, -0.522462	 -0.529404, -0.534645
-0.534909, -0.534963	 -0.534815, -0.534148	 -0.533297, -0.532265
-0.528879, -0.525252	 -0.521525, -0.517331	 -0.513059, -0.508713
-0.505426, -0.500978	 -0.495958, -0.492884	 -0.489718, -0.486464
-0.483122, -0.482527	 -0.480710, -0.479328	 -0.476985, -0.474524
-0.471949, -0.468351	 -0.464662, -0.459780	 -0.453273, -0.446736
-0.440173, -0.433580	 -0.426607, -0.419617	 -0.411564, -0.400984
-0.390457, -0.379985	 -0.369771, -0.359611	 -0.349508, -0.336470
-0.322465, -0.308606	 -0.294876, -0.281304	 -0.267891, -0.254639
-0.238758, -0.222641	 -0.206782, -0.193638	 -0.180701, -0.167972
-0.163361, -0.158461	 -0.159750, -0.158852	 -0.157940, -0.157016
-0.156079, -0.154281	 -0.152139, -0.149814	 -0.143219, -0.136653
-0.130115, -0.120763	 -0.111475, -0.101431	 -0.075234, -0.049411
-0.023964, 0.006470	 0.036426, 0.065905	 0.095673, 0.138415
0.180375, 0.221557	 0.263966, 0.305546	 0.346301, 0.388345
0.435733, 0.482068	 0.532445, 0.581660	 0.629720, 0.676609
0.725396, 0.770133	 0.813610, 0.844511	 0.874410, 0.903320
0.923504, 0.939932	 0.944895, 0.945175	 0.944953, 0.944237
0.938843, 0.933051	 0.923553, 0.902929	 0.882184, 0.861326
0.838379, 0.815356	 0.792268, 0.760107	 0.712599, 0.665555
0.611396, 0.557912	 0.505107, 0.447208	 0.388032, 0.322985
0.261100, 0.200351	 0.140734, 0.087016	 0.034374, -0.017082
-0.037766, -0.057894	 -0.077471, -0.096503	 -0.105092, -0.113336
-0.120039, -0.090903	 -0.062194, -0.033913	 0.000858, 0.035052
0.068669, 0.102574	 0.127187, 0.151318	 0.169072, 0.186445
0.203439, 0.213315	 0.222559, 0.224340	 0.225970, 0.225751
0.225418, 0.224976	 0.224407, 0.222806	 0.217498, 0.209220
0.200907, 0.192561	 0.179533, 0.165230	 0.143415, 0.120793
0.098378, 0.076174	 0.051842, 0.026367	 -0.006948, -0.042457
-0.077387, -0.111740	 -0.147027, -0.181684	 -0.216139, -0.256414
-0.295835, -0.334405	 -0.371428, -0.407598	 -0.442923, -0.474538
-0.495653, -0.516110	 -0.531963, -0.547233	 -0.561928, -0.572892
-0.581429, -0.579357	 -0.574722, -0.569891	 -0.564871, -0.559669
-0.550494, -0.539359	 -0.525386, -0.510513	 -0.495708, -0.480974
-0.465565, -0.450262	 -0.433689, -0.419100	 -0.404642, -0.390319
-0.377731, -0.365255	 -0.352893, -0.339746	 -0.328970, -0.318288
-0.307704, -0.297921	 -0.288217, -0.278594	 -0.268996, -0.263207
-0.257414, -0.253958	 -0.250444, -0.246872	 -0.244136, -0.240372
-0.233383, -0.226364	 -0.215251, -0.204196	 -0.193202, -0.178898
-0.163637, -0.145961	 -0.125349, -0.104994	 -0.084895, -0.065070
-0.045500, -0.025269	 -0.005758, 0.013507	 0.032525, 0.052639
0.072492, 0.092083	 0.112292, 0.152008	 0.191095, 0.229553
0.272658, 0.315045	 0.356714, 0.406242	 0.460584, 0.513930
0.565031, 0.615152	 0.664296, 0.712299	 0.759225, 0.796997
0.831117, 0.864489	 0.897116, 0.927597	 0.956740, 0.984838
1.009332, 1.033185	 1.056402, 1.074340	 1.091730, 1.107323
1.115282, 1.122806	 1.129902, 1.136569	 1.142780, 1.148543
1.149119, 1.135031	 1.120748, 1.094989	 1.069226, 1.043468
1.007631, 0.968618	 0.911283, 0.848276	 0.786033, 0.724555
0.659995, 0.593696	 0.523703, 0.455172	 0.387766, 0.321483
0.253173, 0.186091	 0.119454, 0.058605	 -0.001018, -0.059422
-0.116592, -0.170651	 -0.223527, -0.274433	 -0.316633, -0.357814
-0.397982, -0.436128	 -0.473293, -0.509483	 -0.540550, -0.564723
-0.588170, -0.607349	 -0.625899, -0.643826	 -0.658069, -0.670159
-0.676706, -0.679771	 -0.682572, -0.685112	 -0.685211, -0.685121
-0.683645, -0.676134	 -0.668663, -0.661232	 -0.652532, -0.643927
-0.635418, -0.625666	 -0.614202, -0.602952	 -0.590368, -0.578037
-0.565959, -0.557518	 -0.562554, -0.567489	 -0.576466, -0.585243
-0.593820, -0.603295	 -0.612201, -0.615035	 -0.613679, -0.612241
-0.610724, -0.604626	 -0.598527, -0.591648	 -0.569232, -0.547129
-0.525341, -0.503865	 -0.477156, -0.450872	 -0.424350, -0.388521
-0.353336, -0.318791	 -0.283577, -0.249032	 -0.215155, -0.181064
-0.151138, -0.121827	 -0.092989, -0.064762	 -0.037142, -0.010587
0.015044, 0.045292	 0.074804, 0.103675	 0.131909, 0.161481
0.190395, 0.218146	 0.255702, 0.292435	 0.328350, 0.363453
0.402367, 0.440392	 0.476692, 0.518757	 0.559857, 0.599999
0.642653, 0.684303	 0.724956, 0.760903	 0.790763, 0.819846
0.845041, 0.869542	 0.893357, 0.916502	 0.934033, 0.956090
0.977507, 0.999058	 1.019965, 1.040235	 1.063021, 1.083584
1.106044, 1.128116	 1.149483, 1.170153	 1.186862, 1.202949
1.216496, 1.219745	 1.222610, 1.225095	 1.225191, 1.224956
1.224397, 1.213597	 1.202705, 1.191710	 1.178452, 1.165151
1.151812, 1.133286	 1.112899, 1.088770	 1.058557, 1.028646
0.999041, 0.969743	 0.932341, 0.893514	 0.832237, 0.765187
0.699259, 0.634451	 0.567686, 0.502111	 0.436882, 0.372626
0.309613, 0.247838	 0.191658, 0.136628	 0.082742, 0.033988
-0.006454, -0.045974	 -0.079173, -0.111576	 -0.143190, -0.174020
-0.199492, -0.219189	 -0.238332, -0.255837	 -0.272831, -0.289320
-0.304466, -0.318047	 -0.346652, -0.382261	 -0.416969, -0.450786
-0.492275, -0.532698	 -0.570370, -0.615985	 -0.660366, -0.703523
-0.745468, -0.785458	 -0.824251, -0.859124	 -0.880282, -0.900546
-0.919925, -0.932273	 -0.943911, -0.951882	 -0.945794, -0.939460
-0.932888, -0.924460	 -0.915913, -0.905347	 -0.904328, -0.903214
-0.902006, -0.908102	 -0.914010, -0.919734	 -0.931252, -0.953930
-0.976181, -1.001612	 -1.026550, -1.051000	 -1.077581, -1.103478
-1.132612, -1.161588	 -1.189864, -1.217444	 -1.245577, -1.272961
-1.298315, -1.323450	 -1.347714, -1.371116	 -1.391832, -1.411684
-1.430686, -1.445755	 -1.445699, -1.445059	 -1.443847, -1.437571
-1.430809, -1.423572	 -1.407445, -1.381333	 -1.355142, -1.324195
-1.293300, -1.262465	 -1.226097, -1.186593	 -1.145005, -1.101909
-1.059273, -1.017099	 -0.977337, -0.938019	 -0.896923, -0.856452
-0.816544, -0.777201	 -0.738242, -0.699881	 -0.662116, -0.624784
-0.590575, -0.556967	 -0.527011, -0.497601	 -0.468733, -0.443199
-0.418033, -0.399036	 -0.381519, -0.364330	 -0.347470, -0.332183
-0.317090, -0.302553	 -0.287667, -0.273024	 -0.258625, -0.243055
-0.227740, -0.212341	 -0.189279, -0.166621	 -0.144367, -0.122515
-0.098238, -0.074419	 -0.050926, -0.023597	 0.003182, 0.029412
0.056782, 0.083567	 0.109772, 0.135865	 0.162702, 0.188918
0.218639, 0.247652	 0.275962, 0.304817	 0.331995, 0.357674
0.378268, 0.398251	 0.417630, 0.436407	 0.450798, 0.463150
0.475067, 0.487677	 0.499799, 0.511438	 0.525913, 0.539853
0.551591, 0.573264	 0.594240, 0.614525	 0.635761, 0.656282
0.676098, 0.693001	 0.710312, 0.726912	 0.742799, 0.757922
0.772346, 0.786080	 0.796802, 0.808923	 0.820360, 0.833079
0.845094, 0.856417	 0.869420, 0.878630	 0.886259, 0.891738
0.896581, 0.900797	 0.904436, 0.907436	 0.906215, 0.908653
0.910448, 0.911613	 0.904004, 0.895979	 0.883808, 0.863485
0.843071, 0.822570	 0.803116, 0.783592	 0.764008, 0.741623
0.718644, 0.695757	 0.671462, 0.647319	 0.623333, 0.598310
0.571611, 0.547312	 0.530677, 0.514181	 0.497827, 0.488147
0.478516, 0.467927	 0.466332, 0.471110	 0.475690, 0.480074
0.491135, 0.501860	 0.511446, 0.522392	 0.533036, 0.543381
0.558234, 0.572689	 0.586748, 0.604899	 0.623234, 0.641124
0.658395, 0.675228	 0.691626, 0.707594	 0.719419, 0.726665
0.733633, 0.737545	 0.741238, 0.744716	 0.751559, 0.757135
0.765911, 0.774785	 0.783353, 0.791618	 0.803368, 0.814746
0.824809, 0.839700	 0.854124, 0.868087	 0.887070, 0.905477
0.923313, 0.939167	 0.965673, 0.991381	 1.016301, 1.043325
1.069503, 1.094843	 1.120791, 1.146486	 1.171269, 1.191738
1.211364, 1.230161	 1.246022, 1.257892	 1.263553, 1.266226
1.268298, 1.269780	 1.270665, 1.267133	 1.259260, 1.225452
1.179267, 1.133433	 1.087959, 1.029102	 0.970926, 0.910331
0.828964, 0.748894	 0.670119, 0.588707	 0.508705, 0.430110
0.352913, 0.285288	 0.218993, 0.158718	 0.099700, 0.041933
-0.011005, -0.061827	 -0.100551, -0.133277	 -0.165137, -0.196137
-0.226284, -0.251216	 -0.273722, -0.295388	 -0.317845, -0.339611
-0.360694, -0.383069	 -0.404747, -0.424021	 -0.448045, -0.471372
-0.494009, -0.516863	 -0.539045, -0.560560	 -0.580624, -0.600341
-0.619512, -0.638629	 -0.657233, -0.675330	 -0.695773, -0.714929
-0.738785, -0.762076	 -0.784885, -0.807215	 -0.830116, -0.852554
-0.874450, -0.913563	 -0.951922, -0.989528	 -1.031357, -1.072356
-1.112479, -1.176016	 -1.238257, -1.299208	 -1.358807, -1.417110
-1.473347, -1.541788	 -1.608482, -1.673443	 -1.739317, -1.803350
-1.865561, -1.921476	 -1.970698, -2.018083	 -2.063575, -2.101304
-2.137281, -2.171526	 -2.191932, -2.200504	 -2.207703, -2.205530
-2.202150, -2.197591	 -2.186431, -2.166146	 -2.131338, -2.093520
-2.055260, -2.016581	 -1.976503, -1.928716	 -1.877952, -1.827332
-1.776739, -1.726187	 -1.677455, -1.628791	 -1.574431, -1.523720
-1.473243, -1.423011	 -1.375759, -1.328741	 -1.277532, -1.229663
-1.182174, -1.135070	 -1.086950, -1.039286	 -0.988900, -0.945092
-0.901733, -0.858829	 -0.819228, -0.780047	 -0.741290, -0.701320
-0.663705, -0.626583	 -0.589319, -0.552570	 -0.516337, -0.478155
-0.439212, -0.398531	 -0.358494, -0.317671	 -0.277520, -0.238037
-0.199196, -0.160344	 -0.122513, -0.086377	 -0.050914, -0.016121
0.016798, 0.049080	 0.080800, 0.105231	 0.129189, 0.152674
0.175042, 0.196955	 0.218415, 0.239261	 0.257767, 0.275863
0.293550, 0.309129	 0.324341, 0.339187	 0.352968, 0.365759
0.378202, 0.386746	 0.395017, 0.403017	 0.409873, 0.415656
0.423392, 0.429337	 0.435019, 0.440442	 0.442081, 0.443548
0.443855, 0.440995	 0.436399, 0.431748	 0.427043, 0.421196
0.415328, 0.408506	 0.399690, 0.390947	 0.382280, 0.374145
0.366095, 0.358131	 0.349885, 0.350513	 0.351100, 0.351659
0.355444, 0.359137	 0.362736, 0.369332	 0.380970, 0.392374
0.404556, 0.416487	 0.428167, 0.439312	 0.450050, 0.460276
0.470392, 0.480221	 0.489764, 0.498990	 0.507915, 0.515743
0.523009, 0.529945	 0.536553, 0.540317	 0.543803, 0.547014
0.548548, 0.543124	 0.537603, 0.532001	 0.523767, 0.515513
0.507242, 0.497948	 0.489696, 0.481482	 0.474733, 0.468014
0.461327, 0.457531	 0.453127, 0.454722	 0.457596, 0.460355
0.463002, 0.468350	 0.473537, 0.478190	 0.490833, 0.503143
0.515122, 0.526753	 0.541837, 0.556502	 0.569936, 0.587928
0.605346, 0.622197	 0.638781, 0.654771	 0.670174, 0.682338
0.686883, 0.690991	 0.694845, 0.698251	 0.701217, 0.706491
0.708717, 0.725630	 0.746045, 0.765624	 0.784377, 0.807036
0.828767, 0.846437	 0.865833, 0.884215	 0.901595, 0.915471
0.928375, 0.935859	 0.928852, 0.921225	 0.912993, 0.896327
0.879237, 0.856933	 0.811056, 0.765412	 0.720011, 0.666771
0.613980, 0.561648	 0.506186, 0.432311	 0.359494, 0.287789
0.214029, 0.141439	 0.070018, -0.010291	 -0.103989, -0.195885
-0.301937, -0.405842	 -0.507611, -0.628041	 -0.744738, -0.892359
-1.039075, -1.182443	 -1.322487, -1.459205	 -1.592375, -1.718100
-1.732323, -1.697389	 -1.662472, -1.627583	 -1.567441, -1.507852
-1.444534, -1.344606	 -1.246276, -1.149543	 -1.063166, -0.978286
-0.894900, -0.812648	 -0.780926, -0.750038	 -0.731179, -0.713023
-0.695560, -0.681841	 -0.703457, -0.725281	 -0.764693, -0.803943
-0.843021, -0.904945	 -1.020024, -1.132911	 -1.255617, -1.375625
-1.492952, -1.598813	 -1.615816, -1.631326	 -1.557784, -1.484338
-1.411008, -1.337667	 -1.144664, -0.848787	 -0.557654, -0.889129
-1.212786, -1.528679	 -1.836110, -2.127353	 -1.819604, -1.561926
-1.308925, -1.060589	 -0.888381, -0.719575	 -0.554214, -0.602143
-0.649352, -0.695837	 -0.761009, -0.824968	 -0.887721, -0.960276
-1.031096, -1.099974	 -1.136999, -1.172611	 -1.206825, -1.203741
-1.194490, -1.109531	 -0.985245, -0.862646	 -0.741741, -0.622592
-0.470273, -0.316625	 -0.153474, -0.022755	 0.105418, 0.231059
0.309644, 0.386525	 0.460653, 0.418988	 0.377921, 0.337456
0.281641, 0.226802	 0.172936, 0.119889	 0.072322, 0.025894
-0.019327, -0.047303	 -0.074412, -0.100662	 -0.098410, -0.051903
-0.005909, 0.053636	 0.112371, 0.170294	 0.236158, 0.302995
0.371152, 0.434718	 0.497163, 0.558492	 0.610572, 0.661688
0.712258, 0.750143	 0.787259, 0.823613	 0.860441, 0.896476
0.931723, 0.965563	 1.007479, 1.048416	 1.088000, 1.126611
1.164258, 1.200926	 1.234511, 1.262583	 1.289766, 1.315750
1.340871, 1.365137	 1.392219, 1.415862	 1.441956, 1.462948
1.483077, 1.502355	 1.513029, 1.522993	 1.528929, 1.506944
1.484865, 1.462698	 1.434836, 1.407034	 1.379299, 1.343908
1.302215, 1.260953	 1.220125, 1.178761	 1.137869, 1.097451
1.055631, 1.015763	 0.976431, 0.941684	 0.907415, 0.873626
0.840316, 0.812848	 0.807101, 0.801288	 0.800353, 0.799233
0.797929, 0.799971	 0.800073, 0.795221	 0.784277, 0.773218
0.762049, 0.750753	 0.732365, 0.711689	 0.672186, 0.624794
0.578068, 0.532009	 0.484932, 0.438597	 0.391737, 0.399691
0.407458, 0.415037	 0.489808, 0.563056	 0.634788, 0.800416
0.482185, 0.170239	 -0.097405, -0.359628	 -0.616455, -0.867961
-1.092352, -1.306579	 -1.516411, -1.727855	 -1.934835, -2.137381
-2.343986, -2.543909	 -2.798263, -2.505485	 -2.218432, -1.937077
-1.827333, -1.719866	 -1.615428, -1.600747	 -1.586356, -1.572253
-1.558392, -1.537282	 -1.516565, -1.496092	 -1.478275, -1.460784
-1.443631, -1.433836	 -1.424232, -1.414819	 -1.415873, -1.427603
-1.438967, -1.451262	 -1.463172, -1.474701	 -1.489604, -1.502498
-1.520052, -1.536586	 -1.552267, -1.567108	 -1.578523, -1.589073
-1.594521, -1.574977	 -1.554979, -1.534541	 -1.501688, -1.468628
-1.435377, -1.384679	 -1.305714, -1.227505	 -1.136493, -1.046557
-0.957702, -0.859038	 -0.757627, -0.647635	 -0.541591, -0.437282
-0.334706, -0.233858	 -0.138550, -0.043431	 0.041334, 0.119860
0.196880, 0.272401	 0.342794, 0.411765	 0.479081, 0.535729
0.591150, 0.645353	 0.698347, 0.747365	 0.795246, 0.840827
0.887570, 0.933192	 0.977701, 1.024241	 1.069620, 1.113847
1.157090, 1.200692	 1.243086, 1.283014	 1.321761, 1.359339
1.395762, 1.425767	 1.447623, 1.468541	 1.480444, 1.491574
1.501943, 1.507624	 1.508812, 1.500290	 1.490721, 1.480820
1.470598, 1.460062	 1.451665, 1.439440	 1.448534, 1.471754
1.494012, 1.515320	 1.551197, 1.585874	 1.615940, 1.701822
1.840001, 1.974871	 2.106460, 2.320196	 2.528988, 2.727677
2.471525, 2.219778	 1.972425, 1.743423	 1.518473, 1.297565
1.078015, 0.837101	 0.600589, 0.368465	 0.104566, -0.154314
-0.408196, -0.720650	 -0.589810, -0.461804	 -0.404735, -0.349127
-0.294968, -0.277998	 -0.264326, -0.286930	 -0.318889, -0.350611
-0.382091, -0.423148	 -0.463741, -0.506106	 -0.565548, -0.624019
-0.681520, -0.740046	 -0.797505, -0.854435	 -0.906681, -0.957662
-1.007385, -1.051386	 -1.094161, -1.135721	 -1.169040, -1.188752
-1.207517, -1.225308	 -1.236132, -1.246117	 -1.255265, -1.252343
-1.235331, -1.217970	 -1.193644, -1.169127	 -1.144433, -1.114166
-1.079580, -1.032721	 -0.980253, -0.928250	 -0.876720, -0.820109
-0.764108, -0.705369	 -0.632516, -0.560701	 -0.489926, -0.418885
-0.348928, -0.280052	 -0.207925, -0.133103	 -0.059570, 0.014532
0.087294, 0.158719	 0.228814, 0.301275	 0.371754, 0.440780
0.507131, 0.572041	 0.635520, 0.694767	 0.751279, 0.797380
0.838318, 0.878132	 0.916834, 0.954433	 0.984389, 1.010820
1.030087, 1.042380	 1.054016, 1.065005	 1.072302, 1.079033
1.082342, 1.073646	 1.064721, 1.055573	 1.045057, 1.034370
1.023518, 1.009884	 1.001055, 0.992052	 0.982880, 0.978212
0.973294, 0.968131	 0.963937, 0.966093	 0.967847, 0.967994
0.967772, 0.967183	 0.966946, 0.963772	 0.951432, 0.938967
0.920982, 0.902993	 0.885006, 0.863964	 0.840580, 0.806695
0.769986, 0.733712	 0.697873, 0.660263	 0.623156, 0.584864
0.556757, 0.534235	 0.512028, 0.490137	 0.474635, 0.459353
0.443693, 0.458628	 0.473214, 0.487454	 0.512804, 0.537574
0.561767, 0.584769	 0.655379, 0.724421	 0.791907, 0.881387
0.968848, 1.054302	 1.177456, 1.016825	 0.859184, 0.758137
0.659019, 0.561823	 0.478431, 0.397046	 0.309503, 0.223897
0.122760, 0.023903	 -0.072688, -0.187830	 -0.297708, -0.465158
-0.663547, -0.857451	 -1.046899, -1.265862	 -1.479795, -1.683967
-1.440840, -1.202200	 -0.968030, -0.807430	 -0.649997, -0.495716
-0.407479, -0.394056	 -0.381366, -0.408654	 -0.435916, -0.463153
-0.509463, -0.558615	 -0.629800, -0.704154	 -0.777238, -0.849055
-0.921860, -0.993211	 -1.062982, -1.116052	 -1.167578, -1.217574
-1.255480, -1.291973	 -1.322830, -1.316736	 -1.309907, -1.302358
-1.283181, -1.263560	 -1.238218, -1.200260	 -1.162362, -1.124532
-1.086755, -1.049112	 -1.011612, -0.970523	 -0.924894, -0.879659
-0.834842, -0.787129	 -0.739909, -0.693191	 -0.639022, -0.575992
-0.513908, -0.448437	 -0.384006, -0.320612	 -0.253052, -0.185325
-0.115411, -0.047557	 0.018985, 0.084223	 0.144189, 0.202910
0.259955, 0.297272	 0.333657, 0.369117	 0.403635, 0.430605
0.456783, 0.480451	 0.486688, 0.492496	 0.497882, 0.498325
0.498455, 0.498277	 0.491696, 0.480149	 0.468566, 0.452241
0.436013, 0.419881	 0.401118, 0.381247	 0.358735, 0.337059
0.315732, 0.294754	 0.274154, 0.257711	 0.241365, 0.237065
0.241500, 0.245874	 0.250187, 0.262243	 0.274083, 0.285853
0.306414, 0.326537	 0.346224, 0.365594	 0.384509, 0.402972
0.420444, 0.427988	 0.435221, 0.442146	 0.443404, 0.444456
0.445307, 0.439092	 0.426324, 0.413636	 0.396900, 0.380357
0.364005, 0.347861	 0.328628, 0.312644	 0.296903, 0.284466
0.272223, 0.260173	 0.252008, 0.243712	 0.248529, 0.257428
0.266109, 0.274572	 0.285513, 0.296172	 0.306108, 0.314877
0.323365, 0.331574	 0.339508, 0.346826	 0.353870, 0.359760
0.354782, 0.349776	 0.344743, 0.333780	 0.322931, 0.312196
0.297504, 0.275564	 0.254050, 0.232995	 0.212700, 0.192852
0.173447, 0.156194	 0.149886, 0.143874	 0.144689, 0.145689
0.146870, 0.156229	 0.167086, 0.185200	 0.203675, 0.222014
0.240215, 0.258276	 0.277126, 0.297238	 0.322312, 0.348778
0.374867, 0.400577	 0.428843, 0.456645	 0.484601, 0.518163
0.551021, 0.583179	 0.611240, 0.638639	 0.665382, 0.690359
0.676967, 0.663636	 0.650361, 0.627614	 0.605126, 0.582899
0.552687, 0.515743	 0.479380, 0.441434	 0.404118, 0.367430
0.332909, 0.298359	 0.270943, 0.244016	 0.220252, 0.196920
0.174019, 0.153720	 0.133651, 0.121509	 0.113195, 0.105012
0.096961, 0.091226	 0.085557, 0.079626	 0.070839, 0.062105
0.053426, 0.044783	 0.034908, 0.025096	 0.014489, -0.010029
-0.034209, -0.058053	 -0.085747, -0.113015	 -0.139860, -0.169327
-0.200526, -0.231155	 -0.261399, -0.291054	 -0.320122, -0.346657
-0.372374, -0.390848	 -0.403767, -0.416310	 -0.428480, -0.440265
-0.444333, -0.447160	 -0.431806, -0.408638	 -0.385801, -0.363296
-0.333961, -0.305124	 -0.276242, -0.258990	 -0.242102, -0.225577
-0.218607, -0.211827	 -0.205234, -0.206404	 -0.214985, -0.223458
-0.232372, -0.241169	 -0.249847, -0.258408	 -0.267843, -0.281400
-0.294710, -0.310044	 -0.325086, -0.339837	 -0.354499, -0.368738
-0.372187, -0.368078	 -0.363979, -0.359894	 -0.348773, -0.337810
-0.326601, -0.295621	 -0.265241, -0.235457	 -0.203836, -0.172878
-0.142580, -0.112843	 -0.099175, -0.085925	 -0.079356, -0.073081
-0.067095, -0.069606	 -0.080604, -0.091538	 -0.104399, -0.117125
-0.129714, -0.147984	 -0.168571, -0.188759	 -0.207306, -0.225459
-0.243221, -0.254857	 -0.265853, -0.264462	 -0.254784, -0.245212
-0.235748, -0.226390	 -0.211619, -0.196552	 -0.176487, -0.155448
-0.134825, -0.114617	 -0.093957, -0.073757	 -0.054355, -0.043770
-0.033529, -0.023631	 -0.019409, -0.015434	 -0.011701, -0.012698
-0.019101, -0.025578	 -0.033607, -0.041678	 -0.049786, -0.061245
-0.083752, -0.105956	 -0.130940, -0.155532	 -0.179733, -0.203602
-0.227526, -0.246283	 -0.261325, -0.276068	 -0.290515, -0.299745
-0.308768, -0.317421	 -0.305252, -0.293301	 -0.281567, -0.270062
-0.251423, -0.233160	 -0.215339, -0.188012	 -0.161329, -0.135286
-0.110145, -0.085654	 -0.061810, -0.038953	 -0.016714, 0.004825
0.028776, 0.051945	 0.074340, 0.096672	 0.115995, 0.133425
0.145704, 0.157338	 0.168336, 0.177111	 0.182552, 0.180607
0.174248, 0.167576	 0.160600, 0.152102	 0.140589, 0.132542
0.130517, 0.128171	 0.125512, 0.134697	 0.141221, 0.169995
0.216514, 0.261816	 0.305910, 0.357100	 0.404970, 0.423436
0.414915, 0.406325	 0.397670, 0.355680	 0.314369, 0.272742
0.199134, 0.127093	 0.056610, 0.015361	 -0.024827, -0.063964
-0.099700, 0.061635	 0.220186, 0.376006	 0.538658, 0.698397
0.855235, 1.008894	 1.126041, 1.241068	 1.346352, 1.449675
1.551041, 1.625244	 1.698238, 1.739395	 1.765659, 1.791272
1.816240, 1.833315	 1.848456, 1.835474	 1.808913, 1.782443
1.756073, 1.714834	 1.670884, 1.603250	 1.525003, 1.447741
1.371469, 1.287563	 1.201413, 1.104884	 1.005991, 0.908688
0.812974, 0.716901	 0.622487, 0.528165	 0.432334, 0.338399
0.246351, 0.146355	 0.048451, -0.047371	 -0.120108, -0.189856
-0.257894, -0.313837	 -0.368280, -0.421235	 -0.464761, -0.504165
-0.523368, -0.533243	 -0.542599, -0.551442	 -0.550053, -0.546828
-0.534382, -0.519302	 -0.504516, -0.490022	 -0.475882, -0.460874
-0.446719, -0.443458	 -0.440435, -0.437647	 -0.442271, -0.446976
-0.452879, -0.462677	 -0.472445, -0.482181	 -0.491864, -0.504039
-0.516105, -0.528905	 -0.531711, -0.534510	 -0.537268, -0.530559
-0.524001, -0.517594	 -0.500478, -0.466548	 -0.433277, -0.394617
-0.356729, -0.319612	 -0.283043, -0.247480	 -0.207969, -0.168194
-0.129299, -0.091278	 -0.045403, -0.000581	 0.042230, 0.079245
0.115339, 0.150519	 0.174705, 0.198199	 0.221007, 0.241666
0.232065, 0.222468	 0.212907, 0.193217	 0.173780, 0.154596
0.128464, 0.098903	 0.069926, 0.050758	 0.032018, 0.013703
0.010856, 0.008791	 0.054143, 0.112720	 0.170253, 0.226744
0.299752, 0.371380	 0.442016, 0.555752	 0.667204, 0.776382
0.883300, 0.986027	 1.086542, 1.183585	 1.208104, 1.231910
1.255010, 1.247286	 1.239497, 1.231646	 1.203773, 1.139286
1.075965, 1.003366	 0.932155, 0.862327	 0.792810, 0.724832
0.642938, 0.560267	 0.479378, 0.400259	 0.325120, 0.251678
0.181315, 0.110919	 0.042127, -0.025070	 -0.088198, -0.149835
-0.208393, -0.264639	 -0.319556, -0.373152	 -0.428642, -0.482784
-0.533941, -0.589254	 -0.643166, -0.695688	 -0.745849, -0.794662
-0.842141, -0.885642	 -0.921196, -0.955603	 -0.986990, -1.017301
-1.046547, -1.074746	 -1.096216, -1.111168	 -1.125385, -1.134698
-1.143381, -1.151443	 -1.153190, -1.151674	 -1.138608, -1.120885
-1.103206, -1.085575	 -1.068115, -1.050766	 -1.032005, -1.012681
-0.993703, -0.975072	 -0.955903, -0.937163	 -0.919187, -0.916467
-0.913969, -0.911689	 -0.914877, -0.918185	 -0.921611, -0.930555
-0.945679, -0.960690	 -0.979070, -0.997258	 -1.015252, -1.036072
-1.057696, -1.079028	 -1.096063, -1.112897	 -1.129530, -1.138595
